"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2023-06-21,7270.7008991925,48.438813052644,48.438813052644,48.438813052644,48.438813052644,48.438813052644,48.438813052644,0,0,0,7165.96381947962,7470.37077973429,7270.7008991925,7270.7008991925,7319.13971224514
2023-06-22,7269.59988497304,54.6041802058837,54.6041802058837,54.6041802058837,54.6041802058837,54.6041802058837,54.6041802058837,0,0,0,7173.34154125308,7479.2192879941,7269.59988497304,7269.59988497304,7324.20406517893
2023-06-23,7268.49887075358,62.103102195177,62.103102195177,62.103102195177,62.103102195177,62.103102195177,62.103102195177,0,0,0,7173.31721158093,7488.02964438515,7268.49887075358,7268.49887075358,7330.60197294876
2023-06-26,7265.19582809522,63.5929803801609,63.5929803801609,63.5929803801609,63.5929803801609,63.5929803801609,63.5929803801609,0,0,0,7172.60453788765,7480.02654673925,7265.19582809522,7265.19582809522,7328.78880847538
2023-06-27,7264.09481387576,59.1254437443621,59.1254437443621,59.1254437443621,59.1254437443621,59.1254437443621,59.1254437443621,0,0,0,7171.19670568154,7482.7327361832,7264.09481387576,7264.09481387576,7323.22025762012
2023-06-28,7262.9937996563,48.4388130526404,48.4388130526404,48.4388130526404,48.4388130526404,48.4388130526404,48.4388130526404,0,0,0,7179.07536955436,7454.55120892971,7262.9937996563,7262.9937996563,7311.43261270894
2023-06-29,7261.89278543685,54.6041802058705,54.6041802058705,54.6041802058705,54.6041802058705,54.6041802058705,54.6041802058705,0,0,0,7167.18298839177,7461.13768306328,7261.89278543685,7261.89278543685,7316.49696564272
2023-06-30,7260.79177121739,62.1031021950374,62.1031021950374,62.1031021950374,62.1031021950374,62.1031021950374,62.1031021950374,0,0,0,7174.80401363975,7470.96261979593,7260.79177121739,7260.79177121739,7322.89487341243
2023-07-03,7257.48872855902,63.5929803804487,63.5929803804487,63.5929803804487,63.5929803804487,63.5929803804487,63.5929803804487,0,0,0,7166.84355856697,7474.98554005654,7257.48872855902,7257.48872855902,7321.08170893947
2023-07-04,7256.38771433956,59.1254437443771,59.1254437443771,59.1254437443771,59.1254437443771,59.1254437443771,59.1254437443771,0,0,0,7171.22078806382,7458.33675600546,7256.38771433956,7256.38771433956,7315.51315808394
2023-07-05,7255.28670012011,48.43881305264,48.43881305264,48.43881305264,48.43881305264,48.43881305264,48.43881305264,0,0,0,7160.80800996082,7459.28734259979,7255.28670012011,7255.28670012011,7303.72551317275
2023-07-06,7254.18568590065,54.6041802059355,54.6041802059355,54.6041802059355,54.6041802059355,54.6041802059355,54.6041802059355,0,0,0,7157.94148283917,7464.2073145465,7254.18568590065,7254.18568590065,7308.78986610659
2023-07-07,7253.0846718407,62.1031021948977,62.1031021948977,62.1031021948977,62.1031021948977,62.1031021948977,62.1031021948977,0,0,0,7174.44909872501,7462.93116904892,7253.0846718407,7253.0846718407,7315.1877740356
2023-07-10,7249.78162966086,63.5929803804471,63.5929803804471,63.5929803804471,63.5929803804471,63.5929803804471,63.5929803804471,0,0,0,7160.36237197762,7455.55006202234,7249.78162966086,7249.78162966086,7313.37461004131
2023-07-11,7248.68061560091,59.1254437443109,59.1254437443109,59.1254437443109,59.1254437443109,59.1254437443109,59.1254437443109,0,0,0,7170.2836367003,7452.47836606444,7248.68061560091,7248.68061560091,7307.80605934522
2023-07-12,7247.57960154097,48.4388130526364,48.4388130526364,48.4388130526364,48.4388130526364,48.4388130526364,48.4388130526364,0,0,0,7147.48743092815,7441.9234793692,7247.57960154097,7247.57960154097,7296.0184145936
2023-07-13,7246.47858748102,54.6041802056623,54.6041802056623,54.6041802056623,54.6041802056623,54.6041802056623,54.6041802056623,0,0,0,7149.14244500551,7458.10920382598,7246.47858748102,7246.47858748102,7301.08276768668
2023-07-14,7245.37757342107,62.103102194758,62.103102194758,62.103102194758,62.103102194758,62.103102194758,62.103102194758,0,0,0,7152.90227922906,7445.89701570213,7245.37757342107,7245.37757342107,7307.48067561583
2023-07-17,7242.07453124123,63.5929803805902,63.5929803805902,63.5929803805902,63.5929803805902,63.5929803805902,63.5929803805902,0,0,0,7153.40785857808,7455.23603840157,7242.07453124123,7242.07453124123,7305.66751162182
2023-07-18,7240.97351718128,59.1254437442447,59.1254437442447,59.1254437442447,59.1254437442447,59.1254437442447,59.1254437442447,0,0,0,7145.35871047412,7445.67602184969,7240.97351718128,7240.97351718128,7300.09896092553
2023-07-19,7239.87250312133,48.4388130526474,48.4388130526474,48.4388130526474,48.4388130526474,48.4388130526474,48.4388130526474,0,0,0,7151.85061642447,7440.74720057306,7239.87250312133,7239.87250312133,7288.31131617398
